# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	498086	499561	-	CBW16539.1			muropeptide MFS transporter protein	ampG		SL1344_0438	1476	491.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	499605	500237	-	CBW16540.1			hypothetical lipoprotein	yajG		SL1344_0439	633	210.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	500487	500804	+	CBW16541.1			BolA protein	bolA		SL1344_0440	318	105.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	501151	502449	+	CBW16542.1			trigger factor	tig		SL1344_0441	1299	432.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	502696	503319	+	CBW16543.1			ATP-dependent clp protease proteolytic subunit	clpP		SL1344_0442	624	207.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	503571	504842	+	CBW16544.1			ATP-dependent clp protease ATP-binding subunit ClpX	clpX		SL1344_0443	1272	423.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	505028	507382	+	CBW16545.1			Lon protease	lon		SL1344_0444	2355	784.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	507591	507863	+	CBW16546.1			DNA-binding protein HU-beta	hupB		SL1344_0445	273	90.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	508154	510025	+	CBW16547.1			peptidyl-prolyl cis-trans isomerase D	cypD		SL1344_0446	1872	623.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	510175	510549	+	CBW16548.1			competence gene-DNA binding and transport	comE1		SL1344_0447	375	124.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	510653	511051	+	CBW16549.1			conserved hypothetical protein	ybaW		SL1344_0448	399	132.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	511157	511852	-	CBW16550.1			conserved hypothetical protein	ybaX		SL1344_0449	696	231.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	511917	513617	-	CBW16551.1			hypothetical solute-binding protein	ybaE		SL1344_0450	1701	566.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	513718	514536	+	CBW16552.1			conserved hypothetical protein	cof		SL1344_0451	819	272.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	514586	515641	-	CBW16553.1			hypothetical lyase			SL1344_0452	1056	351.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	515754	516212	+	CBW16554.1			hypothetical transcriptional regulator	ybaO		SL1344_0453	459	152.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	516253	518025	+	CBW16555.1			hypothetical ABC transporter ATP-binding membrane protein	mdlA		SL1344_0454	1773	590.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	518018	519799	+	CBW16556.1			hypothetical ABC transporter ATP-binding membrane protein	mdlB		SL1344_0455	1782	593.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	520012	520350	+	CBW16557.1			nitrogen regulatory protein P-II	glnK		SL1344_0456	339	112.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	520382	521668	+	CBW16558.1			probable ammonium transporter	amtB		SL1344_0457	1287	428.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	521768	522628	-	CBW16559.1			acyl-CoA thioesterase II	tesB		SL1344_0458	861	286.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	522843	523412	+	CBW16560.1			conserved hypothetical lipoprotein	ybaY		SL1344_0459	570	189.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	523445	523756	-	CBW16561.2			hypothetical methylated-DNA methyltransferase	ybaZ		SL1344_0460	312	103.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	524065	525615	-	CBW16562.1			hypothetical 58.9 kDa protein in tesb-hha intergenic region. Contains probable N-terminal signal sequence	ylaB		SL1344_0461	1551	516.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	525840	526100	+	CBW16563.1			hypothetical 50s ribosomal protein L31 (second copy)	rpmE2		SL1344_0462	261	86.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	526163	526246	+	CBW16564.2			hypothetical 50s ribosomal protein L36 (second copy)	rpmJa		SL1344_0463	84	27.0	partial
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	526302	526772	-	CBW16565.1			hypothetical membrane protein	ylaC		SL1344_0464	471	156.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	526889	527440	-	CBW16566.1			maltose O-acetyltransferase	maa		SL1344_0465	552	183.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	527619	527837	-	CBW16567.1			haemolysin expression modulating protein	hha		SL1344_0466	219	72.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	527865	528239	-	CBW16568.1			conserved hypothetical protein	ybaJ		SL1344_0467	375	124.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	528735	531884	-	CBW16569.1			acriflavin resistance protein B	acrB		SL1344_0468	3150	1049.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	531907	533100	-	CBW16570.1			acriflavin resistance protein A precursor	acrA		SL1344_0469	1194	397.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	533242	533895	+	CBW16571.1			potential acrAB operon repressor	acrR		SL1344_0470	654	217.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	534014	537376	+	CBW16572.1			integral membrane protein AefA	aefA		SL1344_0471	3363	1120.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	537418	538353	-	CBW16573.1			conserved hypothetical protein			SL1344_0472	936	311.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	538423	538590	-	CBW16574.1			conserved hypothetical protein	ybaM		SL1344_0473	168	55.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	538604	539119	-	CBW16575.1			primosomal replication protein N	priC		SL1344_0474	516	171.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	539730	540281	+	CBW16576.1			adenine phosphoribosyltransferase	apt		SL1344_0476	552	183.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	540395	542323	+	CBW16577.1			DNA polymerase III subunits gamma and tau	dnaX		SL1344_0477	1929	642.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	542369	542698	+	CBW16578.1			conserved hypothetical protein	ybaB		SL1344_0478	330	109.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	542698	543303	+	CBW16579.1			recombination protein RecR	recR		SL1344_0479	606	201.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	543414	545288	+	CBW16580.1			heat shock protein HtpG	htpG		SL1344_0480	1875	624.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	545529	546173	+	CBW16581.1			adenylate kinase	adk		SL1344_0481	645	214.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	546402	547364	+	CBW16582.1			ferrochelatase	hemH		SL1344_0482	963	320.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	547361	548332	-	CBW16583.1			acetyl esterase	aes		SL1344_0483	972	323.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	548485	549789	+	CBW16584.1			inosine-guanosine kinase	gsk		SL1344_0484	1305	434.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	549838	551514	-	CBW16585.1			hypothetical transport protein	ybaL		SL1344_0485	1677	558.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	551729	552949	-	CBW16586.1			fosmidomycin resistance protein	fsr		SL1344_0486	1221	406.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	553122	554774	+	CBW16587.1			UDP-sugar hydrolase	ushA		SL1344_0487	1653	550.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	554891	555370	-	CBW16588.1			conserved hypothetical protein	ybaK		SL1344_0488	480	159.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	555572	556366	-	CBW16589.1			conserved hypothetical protein	ybaP		SL1344_0489	795	264.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	556452	557279	-	CBW16590.1			probable secreted protein			SL1344_0490	828	275.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	557433	559934	-	CBW16591.1			copper-transporting ATPase	copA		SL1344_0491	2502	833.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	560044	560460	+	CBW16592.1			copper efflux regulator	cueR		SL1344_0492	417	138.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	560461	560913	-	CBW16593.1			hypothetical membrane protein	ybbJ		SL1344_0493	453	150.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	560910	561827	-	CBW16594.1			hypothetical membrane protein	ybbK		SL1344_0494	918	305.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	561974	562651	+	CBW16595.1			hypothetical ABC transporter ATP-binding protein	ybbL		SL1344_0495	678	225.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	562638	563417	+	CBW16596.1			hypothetical membrane protein	ybbM		SL1344_0496	780	259.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	563503	564357	-	CBW16597.1			thioredoxin-like protein	ybbN		SL1344_0497	855	284.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	564417	565187	-	CBW16598.1			hypothetical oxidoreductase	ybbO		SL1344_0498	771	256.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	565342	565956	-	CBW16599.1			acyl-coA thioesterase I	tesA		SL1344_0499	615	204.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	565927	566613	+	CBW16600.1			hypothetical ABC transporter ATP-binding protein	ybbA		SL1344_0500	687	228.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	566610	569024	+	CBW16601.1			hypothetical membrane protein	ybbP		SL1344_0501	2415	804.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	569210	570343	+	CBW16602.1			outer membrane protein			SL1344_0502	1134	377.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	570600	571430	+	CBW16603.1			lipoprotein	sfbA		SL1344_0503	831	276.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	571467	572483	+	CBW16604.1			ABC transporter ATP-binding protein	sfbB		SL1344_0504	1017	338.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	572476	573135	+	CBW16605.1			ABC transporter integral membrane protein	sfbC		SL1344_0505	660	219.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	573174	574268	-	CBW16606.1			hypothetical ATP-binding protein	ybbB		SL1344_0506	1095	364.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	574338	575264	-	CBW16607.1			hypothetical lysR-family transcriptional regulator	ybbS		SL1344_0507	927	308.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	575491	575973	+	CBW16608.1			ureidoglycolate hydrolase	allA		SL1344_0508	483	160.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	576052	576870	+	CBW16609.1			negative regulator of allantoin and glyoxylate utilization operons	allR		SL1344_0509	819	272.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	576955	578736	+	CBW16610.1			glyoxylate carboligase	gcl		SL1344_0510	1782	593.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	578749	579525	+	CBW16611.1			hydroxypyruvate isomerase	gip		SL1344_0511	777	258.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	579626	580504	+	CBW16612.1			2-hydroxy-3-oxopropionate reductase	garRa		SL1344_0512	879	292.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	580570	581817	+	CBW16613.1			probable metabolite transport protein			SL1344_0513	1248	415.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	581913	583367	+	CBW16614.1			hypothetical allantoin permease	allP		SL1344_0515	1455	484.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	583446	584807	+	CBW16615.1			allantoinase	allB		SL1344_0516	1362	453.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	584866	586164	+	CBW16616.1			hypothetical permease protein	ybbY		SL1344_0517	1299	432.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	586187	587335	+	CBW16617.1			glycerate kinase	glxK		SL1344_0518	1149	382.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	587415	588200	-	CBW16618.1			conserved hypothetical protein	ylbA		SL1344_0519	786	261.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	588211	589446	-	CBW16619.1			allantoate amidohydrolase	allC		SL1344_0520	1236	411.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	589468	590517	-	CBW16620.1			ureidoglycolate dehydrogenase	allD		SL1344_0521	1050	349.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	590848	592512	+	CBW16621.1			FdrA protein	fdrA		SL1344_0522	1665	554.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	592522	593781	+	CBW16622.1			conserved hypothetical protein	ylbE		SL1344_0523	1260	419.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	593793	594602	+	CBW16623.1			conserved hypothetical protein	ylbF		SL1344_0524	810	269.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	594606	595499	+	CBW16624.1			carbamate kinase	arcC		SL1344_0525	894	297.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	595540	596607	-	CBW16625.1			phosphoribosylaminoimidazole carboxylase ATPase subunit	purK		SL1344_0526	1068	355.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	596604	597113	-	CBW16626.1			phosphoribosylaminoimidazole carboxylase catalytic subunit	purE		SL1344_0527	510	169.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	597231	597953	-	CBW16627.1			conserved hypothetical protein	lpxH		SL1344_0528	723	240.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	597956	598450	-	CBW16628.1			peptidyl-prolyl cis-trans isomerase B	ppiB		SL1344_0529	495	164.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	598623	600008	+	CBW16629.1			cysteinyl-tRNA synthetase	cysS		SL1344_0530	1386	461.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	600052	600876	-	CBW16630.1			hypothetical exported outer membrane protein			SL1344_0531	825	274.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	600873	601310	-	CBW16631.1			hypothetical exported protein			SL1344_0532	438	145.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	601303	601848	-	CBW16632.1			hypothetical membrane protein	ybcI		SL1344_0533	546	181.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	601976	602188	-	CBW16633.1			conserved hypothetical protein	ybcJ		SL1344_0534	213	70.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	602190	603056	-	CBW16634.1			FolD bifunctional protein [includes: methylenetetrahydrofolate dehydrogenase; methenyltetrahydrofolate cyclohydrolase]	folD		SL1344_0535	867	288.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	603618	604160	+	CBW16635.1			type-1 fimbrial protein, a chain precursor	fimA		SL1344_0536	543	180.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	604236	604769	+	CBW16636.1			major pilin protein	fimI		SL1344_0537	534	177.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	604813	605505	+	CBW16637.1			fimbrial chaperone protein	fimC		SL1344_0538	693	230.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	605536	608148	+	CBW16638.1			outer membrane usher protein FimD precursor	fimD		SL1344_0539	2613	870.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	608163	609170	+	CBW16639.1			FimH protein precursor	fimH		SL1344_0540	1008	335.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	609180	609698	+	CBW16640.1			hypothetical fimbrial protein in fimZ 5' region	fimF		SL1344_0541	519	172.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	609744	610376	-	CBW16641.1			probable transcriptional regulator (FimXZ protein)	fimZ		SL1344_0542	633	210.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	610980	611702	-	CBW16642.1			fimbriae Y protein	fimY		SL1344_0543	723	240.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	611721	612032	-	CBW16643.1			hypothetical protein			SL1344_0544	312	103.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	612194	612790	-	CBW16644.1			fimbriae w protein	fimW		SL1344_0545	597	198.0	
CDS	without_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	613262	613552	-				transposase (pseudogene)			SL1344_0546	291		pseudo
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	614292	615944	-	CBW16646.1			hypothetical membrane protein			SL1344_0547	1653	550.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	615925	616851	-	CBW16647.1			bactoprenol glucosyl transferase	gtrBa		SL1344_0548	927	308.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	616848	617210	-	CBW16648.1			bactoprenol-linked glucose translocase	gtrAa		SL1344_0549	363	120.0	
CDS	without_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	618078	618407	-				Two component regulator sensor kinase (fragment)			SL1344_0550	330		pseudo
CDS	without_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	618456	618692	+				cation efflux protein (pseudogene)	cusA		SL1344_0550A	237		pseudo
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	618746	619600	-	CBW16651.1			hypothetical araC-family transcriptional regulator	ykgD		SL1344_0551	855	284.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	619816	621141	+	CBW16652.1			probable pyridine nucleotide-disulfide oxidoreductase	ykgC		SL1344_0552	1326	441.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	621298	621534	+	CBW16653.1			hypothetical secreted protein			SL1344_0553	237	78.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	621547	622107	+	CBW16654.1			hypothetical membrane protein	ykgB		SL1344_0554	561	186.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	622186	623361	-	CBW16655.1			conserved hypothetical protein			SL1344_0555	1176	391.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	623687	625081	+	CBW16656.1			phenylalanine-specific permease	pheP		SL1344_0556	1395	464.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	625123	626253	-	CBW16657.2			hypothetical membrane protein	ybdG		SL1344_0557	1131	376.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	626681	628651	+	CBW16658.1			outer membrane esterase	apeE		SL1344_0558	1971	656.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	628818	631547	+	CBW16659.1			sigma 54-associated DNA-binding protein			SL1344_0559	2730	909.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	631675	632661	-	CBW16660.1			similar to a hypothetical phospohtase isomerase			SL1344_0560	987	328.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	632728	633771	-	CBW16661.1			Putative GTP Binding protein			SL1344_0561	1044	347.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	633804	634658	-	CBW16662.1			mannose specific permease	manZ		SL1344_0562	855	284.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	634661	635335	-	CBW16663.1			mannose specific permease	manY		SL1344_0563	675	224.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	635419	635889	-	CBW16664.1			mannose specific permease	manX		SL1344_0564	471	156.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	635867	636316	-	CBW16665.1			hypothetical protein			SL1344_0565	450	149.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	636516	637169	-	CBW16666.1			oxygen-insensitive NAD(P)H nitroreductase	nfnB		SL1344_0566	654	217.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	637266	637634	-	CBW16667.1			conserved hypothetical protein	ybdF		SL1344_0567	369	122.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	637634	638215	-	CBW16668.1			Regulation of MDR efflux	ramR		SL1344_0568	582	193.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	638504	638845	+	CBW16669.1			transcriptional activator RamA	ramA		SL1344_0569	342	113.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	638851	639099	-	CBW16670.1			hypothetical membrane protein	ybdJ		SL1344_0570	249	82.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	639166	640284	-	CBW16671.1			conserved hypothetical protein	ybdK		SL1344_0571	1119	372.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	640296	641000	-	CBW16672.1			enterobactin synthetase component D	entD		SL1344_0572	705	234.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	641046	643301	-	CBW16673.1			ferrienterobactin receptor precursor	fepA		SL1344_0573	2256	751.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	643490	644704	+	CBW16674.1			enterochelin esterase	fes		SL1344_0574	1215	404.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	644735	644953	+	CBW16675.1			conserved hypothetical protein	ybdZ		SL1344_0575	219	72.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	644950	648834	+	CBW16676.1			enterobactin synthetase component F	entF		SL1344_0576	3885	1294.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	649084	650220	+	CBW16677.1			responsible for the production of very long (VL) modal length LPS Oag	fepE		SL1344_0577	1137	378.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	650273	651067	-	CBW16678.1			ferric enterobactin transport ATP-binding protein FepC	fepC		SL1344_0578	795	264.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	651064	652053	-	CBW16679.1			ferric enterobactin transport protein FepG	fepG		SL1344_0579	990	329.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	652053	653060	-	CBW16680.1			ferric enterobactin transport protein FepD	fepD		SL1344_0580	1008	335.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	653171	654415	+	CBW16681.1			hypothetical membrane protein p43	ybdA		SL1344_0581	1245	414.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	654478	655434	-	CBW16682.1			ferrienterobactin-binding periplasmic protein precursor	fepB		SL1344_0582	957	318.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	655743	656918	+	CBW16683.1			isochorismate synthase EntC	entC		SL1344_0583	1176	391.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	656928	658538	+	CBW16684.1			2,3-dihydroxybenzoate-AMP ligase	entE		SL1344_0584	1611	536.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	658552	659409	+	CBW16685.1			isochorismatase	entB		SL1344_0585	858	285.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	659409	660164	+	CBW16686.1			2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	entA		SL1344_0586	756	251.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	660167	660580	+	CBW16687.1			conserved hypothetical protein	ybdB		SL1344_0587	414	137.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	660762	662867	+	CBW16688.1			carbon starvation protein A	cstAa		SL1344_0588	2106	701.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	662931	663128	+	CBW16689.1			conserved hypothetical protein	ybdD		SL1344_0589	198	65.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	663164	664252	-	CBW16690.1			hypothetical oxidoreductase	ybdH		SL1344_0590	1089	362.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	664379	665539	+	CBW16691.1			hypothetical aminotransferase	ybdL		SL1344_0591	1161	386.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	665540	666157	-	CBW16692.1			conserved hypothetical protein	ybdM		SL1344_0592	618	205.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	666130	667365	-	CBW16693.1			conserved hypothetical protein	ybdN		SL1344_0593	1236	411.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	667531	668433	-	CBW16694.1			hypothetical lysR-family transcriptional regulator	ybdO		SL1344_0594	903	300.0	
